title,overview
Avatar,A marine on an alien planet fights to protect its people.
Titanic,A love story unfolds aboard the doomed Titanic.
The Dark Knight,Batman battles the Joker in Gotham City.
Inception,A thief enters dreams to steal secrets.
Interstellar,A team of astronauts travels through a wormhole to save humanity.
The Avengers,Earth's mightiest heroes unite to save the world.
Iron Man,A billionaire engineer builds a powerful armored suit.
Doctor Strange,A surgeon learns mystical arts and protects reality.
The Matrix,A hacker discovers reality is a simulation.
John Wick,A retired assassin seeks revenge for his dog.
Black Panther,The king of Wakanda fights to protect his nation.
Joker,A failed comedian becomes Gotham's most feared criminal.
Deadpool,A wisecracking mercenary gains superpowers.
La La Land,A musician and actress fall in love while chasing dreams.
Coco,A young boy journeys into the land of the dead.
Frozen,Two sisters discover the power of love and family.
Toy Story,Toys come alive when humans are not around.
Shutter Island,A detective investigates a mysterious asylum.
The Lion King,A lion cub learns to become king.
Avengers Endgame,The Avengers make a final stand against Thanos.
